soc_code,occupation_title,aioe_occupation_title,ai_exposure,job_zone,judgment_skills,math_skill,finance_knowledge,process_activities,advice_analysis,source_url,employment_2024,projected_employment_2034,projected_growth_pct,annual_openings,task_balance,predicted_projected_growth,prediction_error,boxplot_group
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",1.068559,4.0,3.595,2.0,3.9166666666666665,3.1199999999999997,3.26,https://www.onetonline.org/link/localtrends/13-1011.00,21400,23200,9,2200,0.1400000000000005,7.119022911910508,1.880977088089492,more judgment-heavy
13-1021,"Buyers and Purchasing Agents, Farm Products","Purchasing Agents and Buyers, Farm Products",0.7687054,4.0,3.3125,3.0,4.4799999999999995,4.083333333333333,3.74,https://www.onetonline.org/link/localtrends/13-1021.00,522200,552300,6,52200,-0.3433333333333332,1.4581901355560056,4.541809864443994,more judgment-heavy
13-1022,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",0.8188258,3.0,3.6875,3.38,3.99,3.8466666666666662,2.9233333333333333,https://www.onetonline.org/link/localtrends/13-1022.00,522200,552300,6,52200,-0.9233333333333328,2.4877472727462235,3.5122527272537765,more process-heavy
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,4.0,3.91,3.12,4.526666666666666,4.68,4.433333333333334,https://www.onetonline.org/link/localtrends/13-1023.00,522200,552300,6,52200,-0.2466666666666661,5.97776375685054,0.02223624314946,more judgment-heavy
13-1031,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",1.274024,4.0,3.72,2.88,4.4366666666666665,4.516666666666667,3.4499999999999997,https://www.onetonline.org/link/localtrends/13-1031.00,356100,337900,-5,21100,-1.0666666666666669,3.230281132796793,-8.230281132796794,more process-heavy
13-1032,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",0.6634955,3.0,3.1875,2.75,3.3800000000000003,4.323333333333333,3.39,https://www.onetonline.org/link/localtrends/13-1032.00,9200,8400,-8,500,-0.9333333333333332,3.516574934362575,-11.516574934362575,more process-heavy
13-1041,Compliance Officers,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,3.5714285714285716,3.7275,2.7671428571428573,3.3523809523809525,4.618571428571428,4.11,https://www.onetonline.org/link/localtrends/13-1041.00,418000,430300,3,33300,-0.508571428571428,5.104597083359503,-2.1045970833595034,more process-heavy
13-1051,Cost Estimators,Cost Estimators,1.367669,4.0,3.8425,4.12,4.713333333333334,4.920000000000001,4.666666666666667,https://www.onetonline.org/link/localtrends/13-1051.00,221400,212100,-4,16900,-0.2533333333333338,6.623858551113358,-10.623858551113358,more judgment-heavy
13-1071,Human Resources Specialists,"Employment, Recruitment, and Placement Specialists",1.36005,4.0,3.5,2.0,2.4833333333333334,3.9,3.1266666666666665,https://www.onetonline.org/link/localtrends/13-1071.00,944300,1002700,6,81800,-0.7733333333333334,0.111187740347991,5.888812259652009,more process-heavy
13-1074,Farm Labor Contractors,Farm Labor Contractors,-0.4354025,2.0,2.7825,2.12,3.3833333333333333,2.3266666666666667,1.7333333333333332,https://www.onetonline.org/link/localtrends/13-1074.00,3900,4200,6,300,-0.5933333333333335,-1.6362924064488666,7.636292406448867,more process-heavy
