soc_code,source_url,employment_2024,projected_employment_2034,projected_growth_pct,annual_openings
13-1011,https://www.onetonline.org/link/localtrends/13-1011.00,21400,23200,9,2200
13-1021,https://www.onetonline.org/link/localtrends/13-1021.00,522200,552300,6,52200
13-1022,https://www.onetonline.org/link/localtrends/13-1022.00,522200,552300,6,52200
13-1023,https://www.onetonline.org/link/localtrends/13-1023.00,522200,552300,6,52200
13-1031,https://www.onetonline.org/link/localtrends/13-1031.00,356100,337900,-5,21100
13-1032,https://www.onetonline.org/link/localtrends/13-1032.00,9200,8400,-8,500
13-1041,https://www.onetonline.org/link/localtrends/13-1041.00,418000,430300,3,33300
13-1051,https://www.onetonline.org/link/localtrends/13-1051.00,221400,212100,-4,16900
13-1071,https://www.onetonline.org/link/localtrends/13-1071.00,944300,1002700,6,81800
13-1074,https://www.onetonline.org/link/localtrends/13-1074.00,3900,4200,6,300
13-1075,https://www.onetonline.org/link/localtrends/13-1075.00,65400,65400,0,5100
13-1081,https://www.onetonline.org/link/localtrends/13-1081.00,241000,281300,17,26400
13-1082,https://www.onetonline.org/link/localtrends/13-1082.00,1046300,1105000,6,78200
13-1111,https://www.onetonline.org/link/localtrends/13-1111.00,1075100,1169700,9,98100
13-1121,https://www.onetonline.org/link/localtrends/13-1121.00,155800,163300,5,15500
13-1131,https://www.onetonline.org/link/localtrends/13-1131.00,134400,140200,4,10200
13-1141,https://www.onetonline.org/link/localtrends/13-1141.00,107000,112700,5,8500
13-1151,https://www.onetonline.org/link/localtrends/13-1151.00,452300,501000,11,43900
13-1161,https://www.onetonline.org/link/localtrends/13-1161.00,941700,1004700,7,87200
13-1199,https://www.onetonline.org/link/localtrends/13-1199.00,1205700,1242000,3,108200
13-2011,https://www.onetonline.org/link/localtrends/13-2011.00,1579800,1652600,5,124200
13-2022,https://www.onetonline.org/link/localtrends/13-2022.00,77300,80200,4,6300
13-2023,https://www.onetonline.org/link/localtrends/13-2023.00,77300,80200,4,6300
13-2031,https://www.onetonline.org/link/localtrends/13-2031.00,50400,51000,1,3100
13-2041,https://www.onetonline.org/link/localtrends/13-2041.00,67800,64800,-4,3700
13-2051,https://www.onetonline.org/link/localtrends/13-2051.00,368500,389600,6,25100
13-2052,https://www.onetonline.org/link/localtrends/13-2052.00,326000,357200,10,24100
13-2053,https://www.onetonline.org/link/localtrends/13-2053.00,127000,123700,-3,8200
13-2054,https://www.onetonline.org/link/localtrends/13-2054.00,60500,64400,7,4800
13-2061,https://www.onetonline.org/link/localtrends/13-2061.00,65100,77200,19,5700
13-2071,https://www.onetonline.org/link/localtrends/13-2071.00,31800,32900,3,2200
13-2072,https://www.onetonline.org/link/localtrends/13-2072.00,301400,306500,2,20300
13-2081,https://www.onetonline.org/link/localtrends/13-2081.00,57600,56500,-2,4300
13-2082,https://www.onetonline.org/link/localtrends/13-2082.00,90600,94700,5,10400
13-2099,https://www.onetonline.org/link/localtrends/13-2099.00,137100,141400,3,10300
